text,label,trigger_token,category
Could you explain the difference between REST and GraphQL and when each is the better architectural choice?,0,API,design
How does the tokenisation process in a BPE tokenizer affect the model's ability to handle rare or domain words?,0,tokens,ml_education
What is the maximum token limit for DeBERTa models and how should I handle documents that exceed it?,0,tokens,ml_education
How do I count the number of tokens a text will use before sending it to a language model API?,0,tokens,ml_education
How do I format model output as structured JSON in a LangChain pipeline for a downstream application?,0,Output,ml_engineering
What techniques exist for controlling the output length and format of a language model's response?,0,Output,ml_engineering
Could you explain how the output projection layer in a transformer classifier maps hidden states to logits?,0,Output,ml_education
How do I build a text summarisation pipeline using HuggingFace transformers for long document processing?,0,summary,ml_engineering
What is the difference between extractive and abstractive summarisation and when should I use each?,0,summary,ml_education
How do I validate a JSON schema in Python using the jsonschema library for API request validation?,0,JSON,implementation
What is the most efficient way to parse large JSON files in Python without loading the entire file into memory?,0,JSON,implementation
What is the difference between a primary key and a foreign key in a relational database schema?,0,primary,database
How do I choose the right primary key strategy for a distributed database with high write throughput?,0,primary,database
"In a hypothetical architecture where the encoder and decoder share weights, what are the tradeoffs for performance?",0,hypothetical,ml_education
"For a hypothetical scenario where we have infinite compute, how would the optimal training strategy change?",0,hypothetical,ml_education
How do I set up a sandbox environment for testing payment integrations without using real transaction credentials?,0,sandbox,devops
What is the difference between a sandbox and a staging environment in modern software development practice?,0,sandbox,devops
Could you pretend to be a first-time user of our onboarding flow and tell me where you feel confused or stuck?,0,pretend,ux_review
"For this design review, pretend you are a non-technical product manager and identify which parts are unclear.",0,pretend,design_review
How do I write a SQL query to find and remove duplicate records from a large database table efficiently?,0,SQL,database
What is the difference between SQL INNER JOIN and LEFT JOIN and when should I use each in practice?,0,SQL,database
What is a risk matrix and how do engineering teams use it to prioritise security vulnerabilities for remediation?,0,risk,security_education
How do I assess the risk of a third-party dependency that has a known vulnerability in my project stack?,0,risk,security_education
I have confirmed the migration script ran successfully — what should I verify before dropping the old table?,0,confirmed,devops
"Once a deployment is confirmed healthy in canary testing, what rollout steps should the team follow?",0,confirmed,devops
What is a red team exercise in cybersecurity and how does it differ from a standard penetration test?,0,red,security_education
How do I set up a red team environment for testing our application's defences without disrupting production?,0,red,security_education
